username,contributions,location,staydate,triptype,reviewdate,overallrating,revtitle,reviewtext,roomtip,value,service,sleepquality,locationrev,rooms,cleanliness,responder,responderposition,responsedate,response,helpful
Gregory L,1,,2021-11-30,NONE,2021-11-21,5,Excellent Place To Stay !,"THE BEST Place To Stay When Visiting The Mouse ! -- GREAT Location..GREAT Rooms..GREAT Staff ! -- Mike..Is A GREAT Employee + Took Care Of Me. -- A Short Walk To .. ""Da Mouse House"" ... Is Nice Too ! -- Look Forward To Many More Stays Here !!",All Rooms Are GREAT ! -- You Will Not Be Unhappy.,,5.0,,5.0,,5.0,Candi Crowe,Guest Services / Front Office,2021-11-22,"Hello Gregory,

We thank you for taking the time to give your review. We are so pleased to hear that you enjoyed your stay and that MIKE was so helpful! He's amazing!! We look forward to having you stay with us again.

In Hospitality, The Anaheim Hotel Guest Services Team",0
Catalina,1,,2021-12-31,FAMILY,2021-12-02,5,Very friendly staff,"Anaheim Hotel is a classic. All the staff were very pleasant, especially Leo. He was VERY helpful and accommodating during our stay. For a memorable experience, I highly recommend this hotel and we will be back!",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-12-04,"Hello Catalina,

We thank you for taking the time to give your review. We are happy to hear that Leo was so helpful and accommodating. We look forward to your next visit!

In Hospitality, The Anaheim Hotel Guest Services Team",0
Cindy M,6,,2020-02-29,NONE,2020-02-23,5,Back at the Anaheim Hotel,"This is such a great property!  The staff of The Anaheim hotel makes you feel welcome the moment you drive up.  Your greeted by the Valet service, Leo and his staff and as you walk in, welcomed by the bartenders at the counter, Sarah, Sabrina, Joseph, all are so wonderful.  Rooms are clean, property lovely with the lush vegetation and you can't beat the price being across from Disney!",,5.0,5.0,,,,5.0,Robert Flores,Guest Services / Front Office,2020-02-23,"Dear Cindy M,

Thank you for your feedback.We greatly appreciate all the kind comments regarding our hotel and staff! We hope to see you again, next time you visit the Disney Resort!

Kind Regards,
The Anaheim Hotel Management Team",13
Darcell B,1,,2021-11-30,FAMILY,2021-12-02,5,Disneyland vacation,"Rented a scooter and needed help and the hotel staff were very accommodating, especially LEO, he was fantastic and a delightful individual to encounter, he had the best smile and attitude, especially after long days in Disneyland, the hotel was very nice, but it was the staff that made the stay fantastic",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-12-04,"Hello Darcell,

We thank you for taking the time to give your review, we are thrilled to hear that Leo was so helpful, and that our location worked out for you. We look forward to your next visit!

In Hospitality, The Anaheim Hotel Guest Services Team",0
Desiree J,1,,2021-11-30,FAMILY,2021-11-29,5,Leo is a saint,"Leo was so sweet and caring . He spotted my dad coming out of of our car in the handicap parking with his cane . We were just coming to do the day parking instead of my dad  walking to Disneyland from Mickey ands friends thru the tram . The distance to Disneyland was not that far from the entrance to Disney .  But in since Leo spotted us and he told us that he is able to get us a scooter right away where my dad does not have to walk from the hotel all the way to the guest services to get a scooter. He was great and so nice , he called it in . The scooter was so much more cheaper than Disneylands price and he can take it in the park , out of the park and back to the hotel . If it wasn’t for leo my dad would have to strain his leg . The anahiem hotel had great service . Thanks again leo for helping us 💜  the scooter works great",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-11-30,"Hello Desiree,

We thank you for taking the time to give your review, we are thrilled to hear that Leo was so helpful, and that our location worked out for you. We look forward to having you stay with us.

In Hospitality, The Anaheim Hotel Guest Services Team",0
Gregory L,1,,2021-11-30,NONE,2021-11-21,5,Excellent Place To Stay !,"THE BEST Place To Stay When Visiting The Mouse ! -- GREAT Location..GREAT Rooms..GREAT Staff ! -- Mike..Is A GREAT Employee + Took Care Of Me. -- A Short Walk To .. ""Da Mouse House"" ... Is Nice Too ! -- Look Forward To Many More Stays Here !!",All Rooms Are GREAT ! -- You Will Not Be Unhappy.,,5.0,,5.0,,5.0,Candi Crowe,Guest Services / Front Office,2021-11-22,"Hello Gregory,

We thank you for taking the time to give your review. We are so pleased to hear that you enjoyed your stay and that MIKE was so helpful! He's amazing!! We look forward to having you stay with us again.

In Hospitality, The Anaheim Hotel Guest Services Team",0
Catalina,1,,2021-12-31,FAMILY,2021-12-02,5,Very friendly staff,"Anaheim Hotel is a classic. All the staff were very pleasant, especially Leo. He was VERY helpful and accommodating during our stay. For a memorable experience, I highly recommend this hotel and we will be back!",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-12-04,"Hello Catalina,

We thank you for taking the time to give your review. We are happy to hear that Leo was so helpful and accommodating. We look forward to your next visit!

In Hospitality, The Anaheim Hotel Guest Services Team",0
Cindy M,6,,2020-02-29,NONE,2020-02-23,5,Back at the Anaheim Hotel,"This is such a great property!  The staff of The Anaheim hotel makes you feel welcome the moment you drive up.  Your greeted by the Valet service, Leo and his staff and as you walk in, welcomed by the bartenders at the counter, Sarah, Sabrina, Joseph, all are so wonderful.  Rooms are clean, property lovely with the lush vegetation and you can't beat the price being across from Disney!",,5.0,5.0,,,,5.0,Robert Flores,Guest Services / Front Office,2020-02-23,"Dear Cindy M,

Thank you for your feedback.We greatly appreciate all the kind comments regarding our hotel and staff! We hope to see you again, next time you visit the Disney Resort!

Kind Regards,
The Anaheim Hotel Management Team",13
Darcell B,1,,2021-11-30,FAMILY,2021-12-02,5,Disneyland vacation,"Rented a scooter and needed help and the hotel staff were very accommodating, especially LEO, he was fantastic and a delightful individual to encounter, he had the best smile and attitude, especially after long days in Disneyland, the hotel was very nice, but it was the staff that made the stay fantastic",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-12-04,"Hello Darcell,

We thank you for taking the time to give your review, we are thrilled to hear that Leo was so helpful, and that our location worked out for you. We look forward to your next visit!

In Hospitality, The Anaheim Hotel Guest Services Team",0
Desiree J,1,,2021-11-30,FAMILY,2021-11-29,5,Leo is a saint,"Leo was so sweet and caring . He spotted my dad coming out of of our car in the handicap parking with his cane . We were just coming to do the day parking instead of my dad  walking to Disneyland from Mickey ands friends thru the tram . The distance to Disneyland was not that far from the entrance to Disney .  But in since Leo spotted us and he told us that he is able to get us a scooter right away where my dad does not have to walk from the hotel all the way to the guest services to get a scooter. He was great and so nice , he called it in . The scooter was so much more cheaper than Disneylands price and he can take it in the park , out of the park and back to the hotel . If it wasn’t for leo my dad would have to strain his leg . The anahiem hotel had great service . Thanks again leo for helping us 💜  the scooter works great",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-11-30,"Hello Desiree,

We thank you for taking the time to give your review, we are thrilled to hear that Leo was so helpful, and that our location worked out for you. We look forward to having you stay with us.

In Hospitality, The Anaheim Hotel Guest Services Team",0
Gregory L,1,,2021-11-30,NONE,2021-11-21,5,Excellent Place To Stay !,"THE BEST Place To Stay When Visiting The Mouse ! -- GREAT Location..GREAT Rooms..GREAT Staff ! -- Mike..Is A GREAT Employee + Took Care Of Me. -- A Short Walk To .. ""Da Mouse House"" ... Is Nice Too ! -- Look Forward To Many More Stays Here !!",All Rooms Are GREAT ! -- You Will Not Be Unhappy.,,5.0,,5.0,,5.0,Candi Crowe,Guest Services / Front Office,2021-11-22,"Hello Gregory,

We thank you for taking the time to give your review. We are so pleased to hear that you enjoyed your stay and that MIKE was so helpful! He's amazing!! We look forward to having you stay with us again.

In Hospitality, The Anaheim Hotel Guest Services Team",0
Catalina,1,,2021-12-31,FAMILY,2021-12-02,5,Very friendly staff,"Anaheim Hotel is a classic. All the staff were very pleasant, especially Leo. He was VERY helpful and accommodating during our stay. For a memorable experience, I highly recommend this hotel and we will be back!",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-12-04,"Hello Catalina,

We thank you for taking the time to give your review. We are happy to hear that Leo was so helpful and accommodating. We look forward to your next visit!

In Hospitality, The Anaheim Hotel Guest Services Team",0
Cindy M,6,,2020-02-29,NONE,2020-02-23,5,Back at the Anaheim Hotel,"This is such a great property!  The staff of The Anaheim hotel makes you feel welcome the moment you drive up.  Your greeted by the Valet service, Leo and his staff and as you walk in, welcomed by the bartenders at the counter, Sarah, Sabrina, Joseph, all are so wonderful.  Rooms are clean, property lovely with the lush vegetation and you can't beat the price being across from Disney!",,5.0,5.0,,,,5.0,Robert Flores,Guest Services / Front Office,2020-02-23,"Dear Cindy M,

Thank you for your feedback.We greatly appreciate all the kind comments regarding our hotel and staff! We hope to see you again, next time you visit the Disney Resort!

Kind Regards,
The Anaheim Hotel Management Team",13
Darcell B,1,,2021-11-30,FAMILY,2021-12-02,5,Disneyland vacation,"Rented a scooter and needed help and the hotel staff were very accommodating, especially LEO, he was fantastic and a delightful individual to encounter, he had the best smile and attitude, especially after long days in Disneyland, the hotel was very nice, but it was the staff that made the stay fantastic",,,,,,,,Candi Crowe,Guest Services / Front Office,2021-12-04,"Hello Darcell,

We thank you for taking the time to give your review, we are thrilled to hear that Leo was so helpful, and that our location worked out for you. We look forward to your next visit!

In Hospitality, The Anaheim Hotel Guest Services Team",0
